name	uniprotID
sp|ALBU_BOVIN|	P02769
sp|AMYS_HUMAN|	P04745
sp|CAS1_BOVIN|	P02662
sp|CAS2_BOVIN|	P02663
sp|CASB_BOVIN|	P02666
sp|CASK_BOVIN|	P02668
sp|CTRA_BOVIN|	P00766
sp|CTRB_BOVIN|	P00767
sp|K1C10_HUMAN|	P13645
sp|K1C15_SHEEP|	O77727
sp|K1C9_HUMAN|	P35527
sp|K1H1_HUMAN|	Q15323
sp|K1H2_HUMAN|	Q14532
sp|K1H4_HUMAN|	O76011
sp|K1H5_HUMAN|	Q92764
sp|K1H6_HUMAN|	O76013
sp|K1H7_HUMAN|	O76014
sp|K1H8_HUMAN|	O76015
sp|K1HA_HUMAN|	O76009
sp|K1HB_HUMAN|	Q14525
sp|K1M1_SHEEP|	P02534
sp|K1M2_SHEEP|	P25690
sp|K22E_HUMAN|	P35908
sp|K2C1_HUMAN|	P04264
sp|K2M1_SHEEP|	P02539
sp|K2M2_SHEEP|	P15241
sp|K2M3_SHEEP|	P25691
sp|KRA33_SHEEP|	P02444
sp|KRA34_SHEEP|	P02445
sp|KRA3A_SHEEP|	P02443
sp|KRA3_SHEEP|	P02441
sp|KRA61_SHEEP|	Q02958
sp|KRB2A_SHEEP|	P02438
sp|KRB2B_SHEEP|	P02439
sp|KRB2C_SHEEP|	P02440
sp|KRB2D_SHEEP|	P08131
sp|KRHB1_HUMAN|	Q14533
sp|KRHB2_HUMAN|	Q9NSB4
sp|KRHB3_HUMAN|	P78385
sp|KRHB4_HUMAN|	Q9NSB2
sp|KRHB5_HUMAN|	P78386
sp|KRHB6_HUMAN|	O43790
sp|KRUC_SHEEP|	P26372
sp|LALBA_BOVIN|	P00711
sp|LYSC_LYSEN|	Q7M135
sp|PEPA_BOVIN|	P00792
sp|PEPA_PIG|	P00791
sp|PEPB_PIG|	Q10735
sp|PEPC_PIG|	P30879
sp|SSPA_STAAU|	P04188
sp|TRY1_BOVIN|	P00760
sp|TRY2_BOVIN|	Q29463
sp|TRYP_PIG|	P00761
sp|ALBU_HUMAN|	P02768
sp|ANT3_HUMAN|	P01008
sp|ANXA5_HUMAN|	P08758
sp|B2MG_HUMAN|	P61769
sp|BID_HUMAN|	P55957
sp|CAH1_HUMAN|	P00915
sp|CAH2_HUMAN|	P00918
sp|CATA_HUMAN|	P04040
sp|CATD_HUMAN|	P07339
sp|CATG_HUMAN|	P08311
sp|CO5_HUMAN|	P01031
sp|CRP_HUMAN|	P02741
sp|CYB5_HUMAN|	P00167
sp|CYC_HUMAN|	P99999
sp|EGF_HUMAN|	P01133
sp|FABPH_HUMAN|	P05413
sp|GELS_HUMAN|	P06396
sp|GSTA1_HUMAN|	P08263
sp|GSTP1_HUMAN|	P09211
sp|HBA_HUMAN|	P69905
sp|HBB_HUMAN|	P68871
sp|IGF2_HUMAN|	P01344
sp|IL8_HUMAN|	P10145
sp|KCRM_HUMAN|	P06732
sp|LALBA_HUMAN|	P00709
sp|LEP_HUMAN|	P41159
sp|LYSC_HUMAN|	P61626
sp|MYG_HUMAN|	P02144
sp|NEDD8_HUMAN|	Q15843
sp|NQO1_HUMAN|	P15559
sp|NQO2_HUMAN|	P16083
sp|PDGFB_HUMAN|	P01127
sp|PPIA_HUMAN|	P62937
sp|PRDX1_HUMAN|	Q06830
sp|RASH_HUMAN|	P01112
sp|RETBP_HUMAN|	P02753
sp|SODC_HUMAN|	P00441
sp|SUMO1_HUMAN|	P63165
sp|SYH_HUMAN|	P12081
sp|TAU_HUMAN|	P10636
sp|THIO_HUMAN|	P10599
sp|TNFA_HUMAN|	P01375
sp|TRFE_HUMAN|	P02787
sp|TRFL_HUMAN|	P02788
sp|UB2E1_HUMAN|	P51965
sp|UBE2C_HUMAN|	O00762
sp|UBE2I_HUMAN|	P63279
sp|RS27A_HUMAN|	P62979
sp|GAG_SCVLA|	P32503
sp|CYC_HORSE|	P00004
sp|CAH2_BOVIN|	P00921
sp|ADH1_YEAST|	P00330
sp|ALDOA_RABIT|	P00883
sp|LYSC_CHICK|	P00698
sp|MYG_HORSE|	P68082
sp|OVAL_CHICK|	P01012
sp|BGAL_ECOLI|	P00722
sp|DHE3_BOVIN|	P00366
sp|GFP_AEQVI|	P42212
sp|SRPP_HEVBR|	O82803
sp|REF_HEVBR|	P15252
sp|PLMP_GRIFR|	P81054
